gene_id	SRX026871	SRX1149649	SRX1900396	SRX2255510	SRX3110803
ENSMUSG00000015714	0	0	1	0	0
ENSMUSG00000015749	1	0	1	0	0
ENSMUSG00000015755	1	1	0	1	1
ENSMUSG00000015790	1	1	0	0	0
ENSMUSG00000015829	0	1	0	0	0
ENSMUSG00000015843	0	1	0	0	0
ENSMUSG00000015846	0	0	0	0	1
ENSMUSG00000015932	1	0	1	1	1
ENSMUSG00000015937	0	0	1	1	1
ENSMUSG00000015943	0	0	0	1	1
ENSMUSG00000016181	0	0	0	1	0
ENSMUSG00000016194	1	1	0	0	1
ENSMUSG00000016239	1	0	0	1	0
ENSMUSG00000016256	0	0	0	1	0
ENSMUSG00000016257	0	1	0	1	0
ENSMUSG00000016262	0	1	0	1	0
ENSMUSG00000016344	0	1	0	1	0
ENSMUSG00000016346	0	1	0	0	0
ENSMUSG00000016382	0	0	0	1	0
ENSMUSG00000016386	0	1	0	1	0
ENSMUSG00000016481	1	0	1	1	1
ENSMUSG00000016487	1	1	1	1	1
ENSMUSG00000016495	1	0	0	1	0
ENSMUSG00000016510	1	0	1	1	1
ENSMUSG00000016552	1	1	0	0	0
ENSMUSG00000016554	0	0	0	1	0
ENSMUSG00000016559	1	1	0	1	0
ENSMUSG00000016619	0	1	1	0	0
ENSMUSG00000016637	1	1	0	0	1
ENSMUSG00000016664	1	0	0	1	1
ENSMUSG00000016756	1	0	1	0	0
ENSMUSG00000016831	1	1	0	1	0
ENSMUSG00000016918	0	1	0	1	0
ENSMUSG00000016942	0	0	1	0	1
ENSMUSG00000016984	1	1	0	1	1
ENSMUSG00000016995	0	1	0	0	0
ENSMUSG00000017119	1	1	1	1	1
ENSMUSG00000017144	0	0	0	1	0
ENSMUSG00000017167	1	0	0	0	0
ENSMUSG00000017210	1	1	0	1	1
ENSMUSG00000017221	0	1	0	0	0
ENSMUSG00000017288	1	0	0	0	1
ENSMUSG00000017291	0	0	0	1	0
ENSMUSG00000017344	0	1	0	0	1
ENSMUSG00000017376	1	1	0	1	1
ENSMUSG00000017390	1	1	1	1	0
ENSMUSG00000017400	0	1	0	1	0
ENSMUSG00000017412	0	1	0	0	0
ENSMUSG00000017421	0	1	0	0	0
ENSMUSG00000017446	0	1	0	0	0
ENSMUSG00000017453	0	0	0	0	1
ENSMUSG00000017466	1	0	0	0	0
ENSMUSG00000017478	1	1	0	1	1
ENSMUSG00000017485	0	1	0	0	0
ENSMUSG00000017491	0	1	0	0	1
ENSMUSG00000017493	1	1	1	1	1
ENSMUSG00000017548	1	0	0	0	0
ENSMUSG00000017615	1	1	1	1	1
ENSMUSG00000017631	0	0	0	1	0
ENSMUSG00000017664	1	1	1	1	1
ENSMUSG00000017667	0	1	0	1	0
ENSMUSG00000017677	1	0	0	1	0
ENSMUSG00000017686	1	0	0	1	0
ENSMUSG00000017692	0	1	0	0	0
