baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000090520.11 303.825419778039 -7.7570394349073 1.11743092900506 -6.94185137851341 3.86994243953775e-12 3.15478966188984e-10
ENSG00000150316.11 249.133228443899 -7.61950980459812 1.0974455790813 -6.94295001942291 3.83995309059191e-12 3.15478966188984e-10
ENSG00000081870.11 192.866510425729 -7.60738855884941 1.10134194890437 -6.90738109668604 4.93682428939101e-12 3.99205944755836e-10
ENSG00000020922.12 157.884290815564 -7.55736293528922 1.09648854850917 -6.8923318401861 5.48851550051304e-12 4.20510812822605e-10
ENSG00000058804.11 381.020376285229 -8.32419493256256 1.20833617493953 -6.8889727090883 5.61967177802225e-12 4.20510812822605e-10
ENSG00000087494.15 99.608820698906 -7.73130968175584 1.12184421223172 -6.89160722804435 5.51655151756391e-12 4.20510812822605e-10
ENSG00000101868.10 268.243503434555 -8.30522139945052 1.20450226541297 -6.89514801086987 5.38087487842439e-12 4.20510812822605e-10
ENSG00000113643.8 623.059705750051 -3.92902428922261 0.569571658939165 -6.89820890410958 5.26622673111969e-12 4.20510812822605e-10
ENSG00000126775.8 148.379723990478 -7.63780134485337 1.10857738007752 -6.88973226597793 5.58974894079416e-12 4.20510812822605e-10
ENSG00000151176.7 192.848993772419 -7.86730791696719 1.14114530470737 -6.89422099404302 5.41607715210637e-12 4.20510812822605e-10
ENSG00000156304.14 270.4360078056 -7.72780122944189 1.1216072348323 -6.88993525491777 5.58177864636097e-12 4.20510812822605e-10
ENSG00000164880.15 458.360292060262 -3.44030808481625 0.498915700185966 -6.89556989995286 5.36492853244984e-12 4.20510812822605e-10
ENSG00000205189.11 100.379047676939 -7.70414628507627 1.11721208140684 -6.89586732303762 5.35371453551492e-12 4.20510812822605e-10
ENSG00000100731.15 573.467797314285 -4.00923371972817 0.582141802094159 -6.887039730364 5.6965316827855e-12 4.2310461617252e-10
ENSG00000119421.6 282.28551699262 -7.93198416099672 1.15415546060196 -6.87254397848598 6.30669278500987e-12 4.64979474671279e-10
ENSG00000167005.13 186.180997594666 -7.92326044921295 1.15376689640247 -6.86729743583238 6.54295607104302e-12 4.78877522075536e-10
ENSG00000132467.3 279.330852906326 -7.45471450969581 1.08650939957348 -6.86115970337873 6.83037492973866e-12 4.96291082757171e-10
ENSG00000111615.13 212.618625318378 -7.58982484412086 1.10682704069456 -6.85728172972544 7.01831383943441e-12 5.06277934302222e-10
ENSG00000114686.8 256.046226019811 -7.64830645883113 1.11963018752672 -6.83110061164602 8.42656055772104e-12 6.03522305087635e-10
ENSG00000114978.17 178.885979121776 -7.79345166395642 1.14204054676565 -6.82414620569127 8.84497665665596e-12 6.28997027916945e-10
ENSG00000007202.14 654.399262790984 -7.34259979732933 1.07733547948215 -6.8155184129448 9.39244424320983e-12 6.63225622722993e-10
ENSG00000109919.9 271.845957670901 -7.64036874049605 1.12232751028309 -6.8076106755762 9.92329661706416e-12 6.95810455799317e-10
ENSG00000143612.18 375.943748404519 -7.37759912961259 1.08434270926125 -6.80375223312828 1.01928783003038e-11 7.04855108394115e-10
ENSG00000163584.17 169.133067002203 -7.59035868156432 1.11546918986369 -6.80463319878144 1.01307019112701e-11 7.04855108394115e-10
ENSG00000142207.6 384.314721680826 -8.41679631214291 1.24097744165183 -6.7823926766465 1.18201667197117e-11 8.11786381496916e-10
ENSG00000185803.8 363.938364994807 -7.60801151467458 1.12517744091271 -6.76161042519944 1.36466245093567e-11 9.30848326226664e-10
ENSG00000147162.13 533.640431212207 -9.08514775996436 1.34413108008631 -6.75912334337285 1.38829171750219e-11 9.34255104120436e-10
ENSG00000153292.15 555.370281908249 -7.83907432712875 1.15962981796225 -6.75997995714172 1.38010830990622e-11 9.34255104120436e-10
ENSG00000112079.8 177.558470297835 -7.44268353200696 1.10232498789897 -6.75180515157578 1.46016890616061e-11 9.76074241471499e-10
ENSG00000108256.8 185.281330279946 -7.45217594306126 1.10411711348493 -6.74944338063917 1.48413410603024e-11 9.85524018620215e-10
ENSG00000076716.8 118.29576456004 -7.37575648082303 1.09516005535614 -6.73486623690316 1.64080812283768e-11 1.08239362155878e-09
ENSG00000168282.5 323.881187245555 -7.30647859701566 1.08541625146954 -6.73149917105393 1.67923790162008e-11 1.10050447317284e-09
ENSG00000138085.16 284.151341324103 -7.49734743816333 1.11402294210077 -6.72997579746896 1.69691310560145e-11 1.10486673440686e-09
ENSG00000139687.13 144.503837412141 -7.59678228462681 1.12914447253405 -6.72790990826708 1.72117428035202e-11 1.11343319413482e-09
ENSG00000258790.1 236.91691788374 -7.78355043248382 1.15713229219833 -6.72658648018244 1.73689436498194e-11 1.11639998703038e-09
ENSG00000010818.8 186.290642685437 -7.50776956338154 1.11839952933069 -6.71295844328065 1.90717443933115e-11 1.21804064351423e-09
ENSG00000102974.14 205.940572318145 -7.52348523284777 1.12210227222453 -6.7048124035367 2.0166527468108e-11 1.27980867672607e-09
ENSG00000160679.12 192.188246973543 -7.43420537180137 1.11524171192417 -6.66600369436939 2.62862644564347e-11 1.65768788493504e-09
ENSG00000148700.14 117.217175055772 -7.41072864842516 1.11230664659891 -6.66248706782872 2.69232016437637e-11 1.67819219971627e-09
ENSG00000157954.14 258.17910460526 -7.4401769022318 1.11674762813821 -6.66236194710858 2.69461398378697e-11 1.67819219971627e-09
ENSG00000084072.16 205.078433820456 -7.48827110008289 1.12444067424537 -6.65955196356478 2.74663583183172e-11 1.70003194356646e-09
ENSG00000198211.8 185.370729802059 -7.55734106062705 1.13629620415464 -6.65085479736282 2.91395653338291e-11 1.79253019387917e-09
ENSG00000085449.14 96.1605385221094 -7.38744632719316 1.11211137584219 -6.64272166229639 3.0794303968568e-11 1.88277125544409e-09
ENSG00000152492.13 266.412926003004 -8.19047360916854 1.23376362773893 -6.63860842143553 3.1665838332087e-11 1.92432339973234e-09
ENSG00000105197.10 209.46387673619 -7.28158399569492 1.09716950466043 -6.63669921991549 3.20785285705513e-11 1.93765907215011e-09
ENSG00000181333.11 181.377564370981 -7.73562776171852 1.16691216464792 -6.62914313182475 3.37641068729686e-11 2.02726167434285e-09
ENSG00000111144.9 446.574741367399 -8.8630736059875 1.33964932026726 -6.61596544103 3.69134604947198e-11 2.20316231178902e-09
