gene	SRX118286_cnt	SRX118292_cnt	SRX118290_cnt	SRX118296_cnt
ENSG00000100503.23	413	867	29	1015
ENSG00000109089.7	23	54	0	0
ENSG00000273899.4	23	0	24	25
ENSG00000151240.16	15	61	22	0
ENSG00000156853.12	7	20	0	0
ENSG00000243725.6	100	268	83	237
ENSG00000105643.9	22	47	0	0
ENSG00000166250.11	77	0	0	0
ENSG00000256269.6	68	254	120	160
ENSG00000109736.14	28	100	0	0
ENSG00000112640.14	130	549	186	502
ENSG00000125968.8	194	683	0	88
ENSG00000147852.15	20	57	28	70
ENSG00000214655.10	141	373	194	0
ENSG00000184575.11	177	969	22	268
ENSG00000151743.10	0	0	8	64
ENSG00000112146.16	86	123	131	80
ENSG00000185043.10	146	576	258	0
ENSG00000078142.11	98	521	155	0
ENSG00000198646.13	89	425	0	0
ENSG00000197530.12	25	70	19	83
ENSG00000187109.13	650	2243	255	444
ENSG00000105700.10	41	234	81	0
ENSG00000080802.18	64	200	98	214
ENSG00000162174.12	28	38	39	59
ENSG00000020577.13	96	251	136	494
ENSG00000068650.18	36	147	54	0
ENSG00000270757.1	200	615	0	0
ENSG00000168216.10	28	0	14	100
ENSG00000176973.7	11	0	0	23
ENSG00000134452.19	30	136	0	237
ENSG00000155254.12	15	23	14	8
ENSG00000099800.7	128	518	218	425
ENSG00000272822.1	215	921	0	882
ENSG00000100647.7	33	113	51	148
ENSG00000140259.6	292	792	408	894
ENSG00000212747.4	23	61	36	25
ENSG00000149782.11	49	184	86	184
ENSG00000086696.10	45	282	67	406
ENSG00000122512.14	0	104	35	23
ENSG00000075151.20	129	0	205	605
ENSG00000058729.10	151	648	148	42
ENSG00000141664.9	32	178	38	116
ENSG00000164291.16	51	299	31	688
ENSG00000128335.13	57	143	0	119
ENSG00000012963.14	19	115	31	151
ENSG00000105738.10	63	226	105	0
ENSG00000148943.11	103	428	119	365
ENSG00000147099.19	33	146	59	0
ENSG00000132635.16	0	0	6	0
ENSG00000101350.7	80	317	98	0
ENSG00000179632.9	169	776	296	1156
ENSG00000134597.14	66	159	47	121
ENSG00000168301.12	23	40	0	108
ENSG00000112981.4	0	48	0	59
ENSG00000128789.20	232	1111	102	1146
ENSG00000179094.14	11	59	5	93
ENSG00000267680.5	12	0	14	0
ENSG00000136938.8	275	709	284	0
ENSG00000129219.13	38	114	51	38
ENSG00000109911.17	52	297	41	0
ENSG00000164849.9	0	0	6	21
ENSG00000007376.7	28	133	36	98
ENSG00000163006.11	22	95	5	72
ENSG00000159579.13	55	263	80	94
ENSG00000128581.15	71	272	26	74
ENSG00000015133.18	41	112	47	0
