gene	SRX118285_cnt	SRX118291_cnt	SRX118289_cnt	SRX118295_cnt
ENSG00000267120.3	27	19	19	25
ENSG00000117899.10	305	246	254	250
ENSG00000176253.2	0	0	0	0
ENSG00000148187.17	99	133	92	142
ENSG00000103202.12	564	497	454	672
ENSG00000206262.8	0	0	0	0
ENSG00000247315.3	189	121	165	201
ENSG00000257767.2	18	29	24	33
ENSG00000188396.3	0	0	0	0
ENSG00000114115.9	1	0	0	0
ENSG00000100399.15	2	3	3	5
ENSG00000142494.13	8	4	5	6
ENSG00000182179.11	14	6	24	8
ENSG00000169509.5	0	0	0	0
ENSG00000186431.18	0	0	0	0
ENSG00000114626.17	142	121	135	220
ENSG00000197780.9	248	213	137	77
ENSG00000114529.12	46	31	31	50
ENSG00000140564.10	198	185	206	297
ENSG00000163216.6	0	0	0	0
ENSG00000131828.13	1108	1266	903	1187
ENSG00000120498.13	0	0	0	1
ENSG00000240041.1	0	0	0	0
ENSG00000136193.16	356	422	458	482
ENSG00000254658.2	0	0	0	0
ENSG00000172288.7	0	0	0	0
ENSG00000117118.9	1381	1870	1086	1622
ENSG00000198794.11	22	37	31	51
ENSG00000280236.2	0	0	0	0
ENSG00000133101.9	23	185	14	153
ENSG00000144619.14	0	0	3	0
ENSG00000182898.3	0	0	0	0
ENSG00000260027.4	2	0	1	0
ENSG00000221909.2	164	122	152	121
ENSG00000179600.3	0	0	0	0
ENSG00000254893.5	5	7	1	1
ENSG00000181222.15	910	853	1159	1180
ENSG00000105369.9	0	1	0	4
ENSG00000196569.11	24	11	20	8
ENSG00000146729.9	598	646	631	701
ENSG00000158092.6	171	152	134	173
ENSG00000100284.20	89	89	109	153
ENSG00000275993.2	2	2	0	0
ENSG00000185420.18	155	250	125	268
ENSG00000112877.7	110	171	94	246
ENSG00000088538.12	25	40	24	33
ENSG00000092345.13	0	0	0	0
ENSG00000229833.9	261	219	233	221
ENSG00000181029.8	1109	976	870	1275
ENSG00000211944.2	0	0	0	0
ENSG00000160271.14	402	257	372	390
ENSG00000137745.11	163	229	259	317
ENSG00000163376.11	9	15	6	3
ENSG00000177483.11	4	5	3	6
ENSG00000212123.3	14	23	16	26
ENSG00000165637.13	438	627	331	504
ENSG00000154545.16	0	0	0	0
ENSG00000159176.13	370	376	376	349
ENSG00000103154.9	1	10	3	5
ENSG00000104419.14	2180	632	2316	1130
ENSG00000280041.1	0	0	0	0
ENSG00000267318.1	27	34	14	24
ENSG00000159899.14	58	94	59	115
ENSG00000175029.16	146	125	104	142
ENSG00000185523.6	0	7	0	4
ENSG00000123815.11	54	62	80	116
ENSG00000176946.11	596	639	407	634
ENSG00000134575.9	135	132	143	192
