gene	SRX118285_cnt	SRX118291_cnt	SRX118287_cnt	SRX118293_cnt
ENSG00000185917.13	130	229	131	132
ENSG00000198752.10	2203	1554	2103	1271
ENSG00000129534.13	794	868	948	592
ENSG00000121552.3	0	0	0	0
ENSG00000181781.9	2	0	1	0
ENSG00000196705.8	69	54	62	45
ENSG00000151079.7	0	0	0	0
ENSG00000138161.13	46	42	28	26
ENSG00000183186.7	2	2	1	0
ENSG00000140396.12	191	239	235	177
ENSG00000134461.15	74	52	43	40
ENSG00000203724.10	28	41	20	14
ENSG00000081051.7	2	0	3	0
ENSG00000163867.16	301	312	261	178
ENSG00000186675.6	0	0	0	0
ENSG00000107798.17	351	665	369	492
ENSG00000198952.8	2019	1465	1546	862
