gene	SRX118286_cnt	SRX118292_cnt	SRX118288_cnt	SRX118294_cnt
ENSG00000272410.5	30	143	30	85
ENSG00000164929.16	0	0	0	0
ENSG00000114316.12	143	554	196	361
ENSG00000133321.10	14	35	12	13
ENSG00000173276.13	88	350	74	234
ENSG00000169957.9	31	163	41	148
ENSG00000002586.18_PAR_Y	1	0	0	0
ENSG00000148335.14	98	412	121	256
ENSG00000105866.13	16	61	34	24
ENSG00000142528.15	48	219	65	76
ENSG00000148290.9	28	85	30	105
ENSG00000273274.1	4	24	6	16
ENSG00000158716.8	2	6	10	13
ENSG00000211959.2	0	0	0	0
ENSG00000236104.2	0	0	0	0
ENSG00000100417.11	36	137	68	132
ENSG00000066583.11	71	273	87	135
ENSG00000196998.17	24	128	34	73
ENSG00000143355.15	1	2	1	0
ENSG00000108587.15	74	181	81	118
ENSG00000100239.15	29	93	29	118
ENSG00000168005.8	29	138	42	92
ENSG00000182712.15	26	53	39	66
ENSG00000148346.11	2	6	4	0
ENSG00000110328.5	81	251	129	155
ENSG00000144642.21	15	24	25	9
ENSG00000264717.5	0	0	0	0
ENSG00000108825.17	40	193	51	143
ENSG00000169718.17	40	89	68	169
ENSG00000189367.14	1	1	3	0
ENSG00000127399.14	6	10	3	23
ENSG00000134717.17	6	7	8	1
ENSG00000163017.13	1	5	4	10
ENSG00000173473.10	340	1407	411	960
ENSG00000197903.7	566	2582	873	2196
ENSG00000197976.11_PAR_Y	0	0	0	0
ENSG00000052749.13	138	512	154	355
ENSG00000166278.14	0	0	0	0
ENSG00000211835.1	0	0	0	0
ENSG00000154007.6	0	0	0	0
ENSG00000091527.15	201	360	177	174
ENSG00000165502.6	303	973	234	663
ENSG00000126368.5	21	49	50	66
ENSG00000196284.14	26	89	39	67
ENSG00000186971.3	0	0	0	0
ENSG00000102996.4	1	9	5	25
ENSG00000137875.4	2	2	2	0
ENSG00000229972.7	0	0	0	0
ENSG00000197406.7	7	11	9	14
ENSG00000106484.14	9	48	20	29
ENSG00000112029.9	106	338	94	223
ENSG00000261701.6	0	0	0	0
ENSG00000187569.2	0	0	0	0
ENSG00000126878.12	9	101	9	67
ENSG00000183971.5	5	4	9	2
ENSG00000077235.17	350	1376	404	704
ENSG00000144712.11	9	49	14	83
ENSG00000164211.12	36	134	32	105
ENSG00000172819.16	9	66	14	50
ENSG00000089063.14	73	363	134	246
ENSG00000257341.5	55	338	81	265
ENSG00000181090.18	85	222	83	140
ENSG00000179751.6	0	0	0	0
